index,ax_g,ax_g_lowpass,ax_g_ai,ax_g_ai_kalman,ay_g,ay_g_lowpass,ay_g_ai,ay_g_ai_kalman,az_g,az_g_lowpass,az_g_ai,az_g_ai_kalman,gx_dps,gx_dps_lowpass,gx_dps_ai,gx_dps_ai_kalman,gy_dps,gy_dps_lowpass,gy_dps_ai,gy_dps_ai_kalman,gz_dps,gz_dps_lowpass,gz_dps_ai,gz_dps_ai_kalman
423,0.035274,0.03427195238095238,0.036129333958221516,0.036341602550737685,-0.014143,-0.012593476190476188,-0.012512898577369359,-0.012600155589101795,1.016211,1.0073002857142856,1.0063156562047815,1.0063286520989045,0.579831,0.6130364285714285,0.616444328728688,0.6145112332749609,0.716857,0.7623541428571428,0.7419737570384509,0.7421178434713311,-0.241972,-0.2614661428571428,-0.2630055007092451,-0.2609286156763166
424,0.031584,0.034073095238095236,0.03601598457493563,0.036298694414948686,-0.014364,-0.012230285714285713,-0.012416675942569958,-0.01257597765614673,1.008733,1.0074543333333335,1.0062752278108011,1.0063216121417193,0.565078,0.6195958095238093,0.6166601583939981,0.6147944067409863,0.824388,0.7674641904761904,0.7421829047684892,0.7421264168892028,-0.272801,-0.2607484761904762,-0.26223148424268056,-0.26110030048954924
425,0.031583,0.03429857142857143,0.03613675626768129,0.03627735510161608,-0.01402,-0.012089142857142856,-0.012358649140247825,-0.012547339306411758,1.004145,1.0076273333333334,1.0063184748085103,1.0063211987213023,0.626833,0.6167285714285713,0.6162716163138487,0.6149890652477381,0.794736,0.762427619047619,0.7402873007363784,0.7418840683351257,-0.288462,-0.2651339523809524,-0.26492385822493797,-0.2616041477790087
426,0.030592,0.03439261904761904,0.03632386572498332,0.03628348401430328,-0.015133,-0.012042238095238094,-0.012358245744754635,-0.01252242160277324,1.01163,1.0074892857142856,1.0062787570719134,1.0063156059954996,0.609508,0.619718238095238,0.6171513105234502,0.6152739939703336,0.715755,0.7574435238095238,0.7402803032496035,0.7416727330429209,-0.226214,-0.2651807619047619,-0.2646320589825337,-0.26200314916938916
427,0.033361,0.03460342857142857,0.03651238907545715,0.03631364785713962,-0.011955,-0.011957714285714285,-0.0123162503670356,-0.012495253497704634,1.008024,1.0070749047619048,1.0061636601280628,1.0062955834095337,0.595955,0.6182560476190474,0.6158350051342916,0.615347920918448,0.779028,0.753071,0.7400679619806628,0.7414612651886662,-0.227197,-0.2717191428571429,-0.2677129462239304,-0.2627555546431362
428,0.032533,0.03460961904761905,0.03656653628755543,0.03634697209572019,-0.006851,-0.012157238095238094,-0.012397635150581517,-0.012482389891868563,1.010494,1.0071419523809524,1.0062026965093034,1.0062833432875986,0.685673,0.6233287619047617,0.616964725396508,0.6155609744696777,0.776604,0.7545040476190477,0.740031024850822,0.7412727960279082,-0.287185,-0.2746178095238095,-0.26873552834052095,-0.2635435625004728
429,0.033236,0.034705523809523804,0.03669110469521373,0.03639231998621094,-0.008803,-0.01163342857142857,-0.012220063822572968,-0.012447822013438003,1.020622,1.0070200476190476,1.0062547754835849,1.0062795787804002,0.611051,0.6306641904761904,0.6180219682793732,0.6158852706216399,0.809342,0.7596770952380952,0.7404235472521778,0.7411608867216178,-0.227099,-0.27465523809523806,-0.2686803871744885,-0.26422046484314615
430,0.035096,0.03502285714285715,0.036784460126854386,0.036443994044934515,-0.011005,-0.011496238095238094,-0.012198751949256278,-0.012415000938039569,1.007059,1.0067208095238096,1.0061760101665003,1.0062659310813205,0.672806,0.6328207142857142,0.6186935960199417,0.6162553362091838,0.794957,0.764007619047619,0.741848409396861,0.7412514846569275,-0.227492,-0.2768222380952381,-0.26973908418236814,-0.264947677975013
431,0.033278,0.03511033333333334,0.036752467475628894,0.036484642967399346,-0.014885,-0.01129147619047619,-0.012143899580284591,-0.012379276700633815,1.007996,1.0068260476190476,1.006195750773907,1.0062566831085917,0.548439,0.6248154285714285,0.6161083228566648,0.6162359636027509,0.639419,0.7574540952380954,0.7408660475119937,0.7412006938819028,-0.226214,-0.27899857142857143,-0.2702587028789425,-0.2656475354604459
432,0.03036,0.03585371428571429,0.03698596452431373,0.0365507043492535,-0.013959,-0.011335333333333333,-0.012159226822592413,-0.012350279744848137,1.002943,1.0067992857142858,1.0062227182603534,1.0062522074087576,0.594926,0.6168754761904761,0.614268747268494,0.615976734715314,0.701369,0.7458954761904762,0.7376420449199952,0.7407317548053459,-0.409813,-0.2804853333333333,-0.2715454141933566,-0.26642472529744876
433,0.037338,0.03569961904761904,0.03665017123934915,0.036563811545857805,-0.008669,-0.01146704761904762,-0.012190044162098148,-0.01232916478605039,0.997889,1.0071669523809523,1.0063469335486492,1.006264689895522,0.686358,0.6234429999999999,0.6158320044565022,0.6159576629623416,0.762217,0.7473809523809524,0.7376151940972281,0.7403210716735894,-0.318112,-0.28122638095238095,-0.2714035488041795,-0.2670808071202353
434,0.031473,0.03574828571428571,0.03643144882399824,0.03654636951849748,-0.010072,-0.01130747619047619,-0.012150480136761045,-0.012305618711309791,1.013851,1.006190142857143,1.0061718534160602,1.0062524564177568,0.732159,0.6255995238095238,0.6167587947942238,0.6160632316839166,0.838553,0.7466224285714287,0.7371098128281721,0.7398979097450952,-0.241776,-0.2848474285714286,-0.27303100618264636,-0.26786489144086484
435,0.031657,0.036058047619047615,0.03642947269511847,0.036530965501693755,-0.011641,-0.01101652380952381,-0.012064646680006674,-0.01227386474989216,1.007068,1.005788857142857,1.0061253242218096,1.0062357036401701,0.534029,0.6313584285714287,0.6190642766345392,0.6164586927880926,0.716857,0.7443679523809524,0.7368226066580978,0.7394926633144453,-0.348843,-0.2840877142857143,-0.2727430752379582,-0.26850771151937497
436,0.033185,0.03626009523809523,0.03642115999241577,0.0365164959390387,-0.009505,-0.01087295238095238,-0.012039058113390072,-0.012242923230099298,1.008049,1.0058814285714286,1.0061489301724094,1.0062242691125511,0.687558,0.6334251428571429,0.6191760650480542,0.6168167730741472,0.733226,0.7384049523809524,0.7356226256897641,0.738982691162265,-0.288266,-0.2825681904761905,-0.27171668247711117,-0.26893057196268544
